name	sources	files	one_liner	layer	scope	vertical	status	traction	priority
Letter AI	Battery	vc-us-b.md	AI agents for revenue enablement and deal intelligence	L3	vertical	GTM/sales	active	$40M Ser B 2026; Battery-backed	normal
Level AI	Battery	vc-us-b.md	Contact center AI intelligence and agents	L3	vertical	customer service	active	$39.4M Ser C 2024; Battery investor	normal
LevelPlane	Accel	vc-in.md	AI procurement agent from engineering drawings to sourcing	L3	vertical	manufacturing	active	Accel Atoms AI cohort 2026	normal
Levocred AI	YC S26	yc-2026.md	AI for every workflow inside a credit team	L3	vertical	finance	active	none visible	high
Lexi AI	YC F25	yc-2025.md	AI associates for corporate law learning firm standards	L3	vertical	legal	active	135K+ documents across 7K+ cases	high
LexisNexis Protégé	ext:L5	kp-suites.md	Personalized legal AI assistant and agents	L5	vertical	legal	active	formerly Lexis+ AI; uptake undisclosed	normal
Liberate	Battery	vc-us-b.md	Voice AI agents for insurance back offices	L3	vertical	insurance	active	$50M Ser B 2025 led by Battery at $300M	normal
Lighthouz AI	YC S24	yc-2024.md	AI Agents for AP and AR in Logistics	L3	vertical	logistics	active	none visible	high
Lightscreen	YC F24	yc-2024.md	AI Voice + video AI interviewer	X	vertical	HR	active	none visible	high
Lilac Labs	YC S24	yc-2024.md	Automate the person taking orders at drive-thrus with a voice AI	X	vertical	hospitality	active	none visible	high
Linc	YC S23	yc-2023.md	AI agents automating logistics workflows	L3	vertical	logistics	active	none visible	normal
Lindy	seed:L2;Menlo, Battery	kp-platforms.md;vc-us-b.md	Platform for building AI employees that run email, meetings, and workflows	L2	horizontal	general	active	$49.9M total; $35M Series B led by Battery 2023	high
Lio	a16z	vc-us-a.md	Virtual procurement workforce agents that triage requests, negotiate, and execute purchases end-to-end	L3	vertical	finance/accounting	active	More than 100 clients globally including Fortune 500 companies	high
Listen Labs	Conviction	vc-ai.md	AI agents conducting user research interviews	L3	vertical	market research	active	$27M raised 2025	normal
LiteLLM	seed:L1	kp-infra.md	Open-source LLM gateway standardizing model calls	L1	horizontal	general	active	40000+ GitHub stars; $12M raised	high
LittleHorse	ext:L1	kp-infra.md	Workflow engine orchestrating agents and microservices	L1	horizontal	general	active	OSS engine; active development	normal
LiveKit	seed:X	kp-infra.md	Real-time voice and video infrastructure for agents	X	horizontal	general	active	$100M Series C at $1B (Jan 2026)	high
Lizza	YC W22	yc-2021-22.md	AI assistant managing creator-brand partnerships end-to-end	L3	vertical	marketing	active	none visible	normal
LlamaIndex	ext:OSS;seed:L2	kp-infra.md;kp-platforms.md	Data framework for LLM applications and agents	L2	horizontal	general	active	$19M Series A; broad adoption	high
Locata	YC S25	yc-2025.md	Agents automating healthcare referrals and prior authorizations	L3	vertical	healthcare	active	none visible	high
Locke	YC S26	yc-2026.md	AI-native government affairs firm	L3	vertical	government	active	none visible	high
Locus	YC F25	yc-2025.md	Payment infrastructure letting AI agents pay	L1	horizontal	general	active	none visible	high
LogicStar AI	Northzone	vc-eu.md	Agentic AI autonomously fixing bugs in commercial applications	L3	vertical	software engineering	active	$3M pre-seed led by Northzone, Feb 2025	normal
Lovable	a16z, Benchmark, Founders Fund	vc-us-a.md	AI-powered full-stack application builder	L2	horizontal	general	active	Unicorn status; $200M Series A; $200M Series B led by Benchmark; $2.8B valuation	high
Lua Global	YC F25	yc-2025.md	Mid-market platform deploying sales, support, operations agents	L2	horizontal	general	active	none visible	high
Lucidic AI	YC W25	yc-2025.md	Agent training via simulations on company knowledge	L1	horizontal	general	active	none visible	high
Luminance	seed:L3	kp-vertical-b.md	Legal AI for contract review, drafting, and negotiation	L3	vertical	legal	active	$75M Series C (Feb 2025)	high
LunaBill	YC F25	yc-2025.md	AI voice callers handling insurance claim follow-ups for billing teams	L3	vertical	healthcare	active	none visible	high
Lunavo	YC F25	yc-2025.md	AI running carrier operations, monitoring data and requests	L3	vertical	logistics	active	none visible	high
Lunos	Cherry Ventures	vc-eu.md	AI partner automating accounts receivable	L3	vertical	finance	active	$5M pre-seed, Sep 2025	normal
Luthor	YC F24	yc-2024.md	AI-Native Compliance Firm	L4	vertical	compliance	active	$500K Seed	high
Macadamia	YC W25	yc-2025.md	AI agents automating complex engineering and business processes	L3	vertical	engineering	active	none visible	high
machine0	YC S26	yc-2026.md	Persistent AI VMs for agent execution	L1	horizontal	general	active	none visible	high
MadeThis	YC F25	yc-2025.md	AI co-founder autonomously building, launching, managing businesses	L3	horizontal	general	active	none visible	high
Mage Legal	YC S24	yc-2024.md	Automatic AI Legal Diligence	L3	vertical	legal	active	none visible	high
MagiCode	YC S24	yc-2024.md	A Reliable AI Frontend Engineer	L3	vertical	software engineering	active	Pre-Seed funding	high
Magnetic	YC S25	yc-2025.md	AI scanning client documents and entering tax software for CPAs	L3	vertical	accounting	active	none visible	high
Magnitude	YC S25	yc-2025.md	Open-source, vision-first browser agent	X	horizontal	general	active	none visible	high
Maive	YC W25	yc-2025.md	AI automation platform for home services contractors	L3	vertical	home services	active	none visible	high
Make	seed:L2	kp-platforms.md	Visual automation platform with AI agents across 3000+ apps	L2	horizontal	general	active	Make AI Agents; 3000+ app integrations	high
Manaflow	YC S24	yc-2024.md	Building interfaces for managing AI coding agents to do good work	L1	horizontal	general	active	Pre-Seed funding	high
Mandel	YC S23	yc-2023.md	AI agents extracting supply-chain data and emailing suppliers	L3	vertical	logistics	active	none visible	normal
Mandolin	Greylock	vc-us-a.md	AI teammates and precision automation for specialty drug processing workflows	L3	vertical	healthcare	active	$40.0M Series A	normal
Manifest	Menlo	vc-us-b.md	AI-native operating suite for law firms	L3	vertical	legal	active	Menlo Ser A 2024	normal
Manifold Security	Cherry Ventures	vc-eu.md	Runtime visibility and protection for autonomous AI agents	L1	horizontal	general	active	$8M seed, Mar 2026	normal
Mantle	YC F25	yc-2025.md	Build back-office agents from one prompt, connected to tools	L2	horizontal	general	active	none visible	high
Mantys	YC W23	yc-2023.md	AI agents verifying healthcare insurance eligibility into EMRs	L3	vertical	healthcare	active	none visible	normal
Manufact	ext:L1	kp-infra.md	Cloud for building and hosting MCP servers	L1	horizontal	general	active	$6.3M seed led by Peak XV (2026)	normal
Manus	Benchmark	vc-us-a.md	AI agents for enterprise work	L3	vertical	general	active	none visible	normal
Marblism	YC W24	yc-2024.md	AI Employees who love overtime	L3	vertical	GTM/sales	active	none visible	high
MarkIt	YC F25	yc-2025.md	Agents handling trade compliance inside Excel, PDFs, broker portals	L3	vertical	trade compliance	active	none visible	high
Marr Labs	YC W24	yc-2024.md	AI-voice agents that are indistinguishable from humans.	X	horizontal	general	active	none visible	high
Martian	ext:L1	kp-infra.md	LLM router cutting costs across models	L1	horizontal	general	active	$9M seed (2023)	normal
MarvelX	EQT Ventures	vc-eu.md	Agentic AI platform for insurance operations	L3	vertical	insurance	active	$6M pre-seed, May 2025	normal
Mastra	ext:OSS;seed:L2;YC W25	kp-infra.md;kp-platforms.md;yc-2025.md	TypeScript agent framework for developers	L2	horizontal	general	active	$35M total; $22M Series A (2026)	high
Maven AGI	ext:L3;Lux	kp-vertical-a.md;vc-us-c.md	Enterprise-grade AI customer service agents	L3	vertical	customer service	active	$50M raise (2025) after $28M (2024)	high
Mavenoid	Point Nine Capital	vc-eu.md	AI agents for product support and troubleshooting	L3	vertical	customer service	active	$6M raised	normal
Maxim AI	Elevation	vc-in.md	Evaluation and observability platform for GenAI applications	L1	horizontal	general	active	$3M seed from Elevation	normal
Maxima	ext:L3	kp-vertical-b.md	Agentic human-AI collaboration for accounting	L3	vertical	finance/accounting	active	$41M seed and Series A (Nov 2025)	high
Maximor	ext:L3	kp-vertical-b.md	AI agents for finance team grunt work	L3	vertical	finance/accounting	active	$9M raised; revenue up 35x (2026)	normal
Maya Labs	YC S22	yc-2021-22.md	building self-programming machines for any task	L2	horizontal	general	active	team 5	normal
Mayflower	YC F25	yc-2025.md	AI plug-in automating HR immigration screening and compliance	L3	vertical	HR	active	none visible	high
Maywood	YC W26	yc-2026.md	Automating investment banking deal workflows	L3	vertical	finance	active	none visible	high
Maze	Cherry Ventures	vc-eu.md	AI agents investigating and resolving cloud security vulnerabilities	L3	vertical	security	active	$25M+ Series A, Jun 2025	high
mcp-use	YC S25	yc-2025.md	Open-source MCP framework and cloud for building agents	L1	horizontal	general	active	4M+ downloads, 8K GitHub stars	high
mdhub	YC S24	yc-2024.md	AI workers for healthcare clinics	L3	vertical	healthcare	active	$500K Seed	high
Mem0	seed:L1;YC S24	kp-infra.md;yc-2024.md	Memory layer giving AI agents persistent knowledge	L1	horizontal	general	active	$24M seed and Series A (2025)	high
Memfold AI	Peak XV	vc-in.md	AI-native workspace where agents retain context and memory	L3	vertical	productivity	active	Peak XV investment Feb 2026; ex-Sarvam founders	normal
Mendral	YC W26	yc-2026.md	AI DevOps Engineer for CI and security	L3	vertical	software engineering	active	none visible	high
Menza	YC W26	yc-2026.md	AI data analyst for consumer brands	L3	vertical	finance	active	none visible	high
Mercura	YC W25	yc-2025.md	Automates quotes and orders for the construction supply chain	L3	vertical	construction	active	none visible	high
Merge	seed:L1	kp-infra.md	Unified APIs for HR, ticketing, and payroll data	L1	horizontal	general	active	$74.5M raised across three rounds	high
Mesh	YC W25	yc-2025.md	AI finance co-worker from ex-Carta fund-accounting founders	L3	vertical	finance	active	none visible	high
MetaGPT	seed:OSS	kp-infra.md	Multi-agent framework assigning roles for complex tasks	L2	horizontal	general	active	40000+ GitHub stars	normal
Metaview	Seedcamp, Plural	vc-eu.md	AI re-engineering hiring conversations	L3	vertical	HR	active	$35M Series B, Jun 2025	high
Meteor	YC S25	yc-2025.md	AI-native browser that does your work for you	X	horizontal	general	active	none visible	high
Metis	YC S25	yc-2025.md	Infrastructure for agents reliably performing complex production tasks	L1	horizontal	general	active	none visible	high
Metorial	YC F25	yc-2025.md	Serverless MCP runtime powering AI integrations	L1	horizontal	general	active	none visible	high
Metoro	YC S23	yc-2023.md	AI SRE autonomously root-causing Kubernetes issues and fixing	L3	vertical	IT	active	none visible	normal
Mica AI	YC S24	yc-2024.md	Replace the humans fixing bad data	L3	vertical	operations	active	none visible	high
Micro1	ext:L3	kp-vertical-a.md	AI interviewer, now pivoted to AI data labeling	L3	vertical	HR and recruiting	pivoted	$35M at $500M valuation (2025) as labeling business	normal
Microsoft Agent Framework	seed:L2	kp-platforms.md	Microsoft's agent framework merging Semantic Kernel and AutoGen	L2	horizontal	general	active	Announced Oct 2025; active docs through Aug 2026	high
Microsoft Copilot Studio	gtm:inc;seed:L5	gtm-carry.md;kp-suites.md	Copilot Studio plus Agent 365 control plane for Microsoft-ecosystem agents	L5	horizontal	general	active	Agent 365 launched Nov 2025	high
Microsoft Entra Agent ID	seed:L1	kp-infra.md	Agent identity directory and access controls in Entra	L1	horizontal	general	active	GA 2025; bundled with Entra suite	high
Microsoft Security Copilot	ext:L5	kp-suites.md	Security agents and SOC automation across Microsoft security	L5	vertical	security	active	none visible	normal
Midship	YC S24	yc-2024.md	AI for SOX testing	L3	vertical	finance/accounting	acquired	acquired by Optro; raised $4.15M	high
Mihup	Accel	vc-in.md	Voice AI and conversation intelligence for enterprise contact centers	X	vertical	customer service	active	Rs 50 Cr Series A 2024; IPO plans	normal
Minded	YC S23	yc-2023.md	Plain-English builder for AI agents	L2	horizontal	general	active	eToro, Payoneer, JustEat customers	high
MindStudio	ext:L2	kp-platforms.md	No-code visual builder for AI agents and AI applications	L2	horizontal	general	active	None visible	normal
Miniloop	YC S21	yc-2021-22.md	AI workflow engine for building reliable systems	L1	horizontal	general	active	none visible	normal
Minimal AI	YC S25	yc-2025.md	AI support teams resolving ecommerce tickets across channels	L3	vertical	customer service	active	80% of interactions automated claimed	high
MinusX	YC S24	yc-2024.md	AI Data Scientist for Jupyter and Metabase	L3	vertical	data & analytics	active	Pre-Seed funding	high
Mireye	YC S26	yc-2026.md	Infrastructure for Physical World AI Agents	L1	horizontal	general	active	none visible	high
Miro AI Agents	ext:L5	kp-suites.md	AI Sidekicks surfacing data and building boards	L5	horizontal	general	active	none visible	normal
Mistle	YC S22	yc-2021-22.md	platform for running autonomous coding agents	L2	horizontal	general	active	team 2	normal
MobileBoost	YC S21	yc-2021-22.md	AI automating mobile app end-to-end testing	L3	vertical	software engineering	active	team 15	normal
Mocha	YC S23	yc-2023.md	Coding agent building web apps from designs	L3	vertical	software engineering	active	none visible	normal
Mod AI	YC F25	yc-2025.md	Agents replacing accounting clerks, owning vendor communication and invoicing	L3	vertical	accounting	active	none visible	high
Moda	YC W26	yc-2026.md	Product analytics built for AI	L1	horizontal	general	active	none visible	high
Modern Relay	Point Nine Capital	vc-eu.md	Context graph infrastructure for enterprise AI agents	L1	horizontal	general	active	$2.9M seed, Apr 2026	normal
Mohi	YC S25	yc-2025.md	Debugging assistant tracing AI agent failures with execution graphs	L1	horizontal	general	active	none visible	high
Momentic	YC W24	yc-2024.md	The AI-native automated testing platform	L3	vertical	software engineering	active	$15M Series A	high
monday.com AI Agents	ext:L5	kp-suites.md	Agents monitoring and executing in the monday work OS	L5	horizontal	general	active	none visible	normal
Moonbounce	Amplify Partners	vc-ai.md	Real-time control engine for AI agent behavior	L1	horizontal	general	active	none visible	normal
Moonhub	ext:L3	kp-vertical-a.md	AI agents for recruiting workflows	L3	vertical	HR and recruiting	acquired	Team acqui-hired by Salesforce (2025)	normal
Moonscale	EQT Ventures	vc-eu.md	AI avatar agents automating B2B sales demos	L3	vertical	GTM/sales	active	Pre-seed	normal
Mosaic	YC W25	yc-2025.md	Create and run video-editing agents on a node canvas	L2	vertical	media	active	none visible	high
Moss	YC F25	yc-2025.md	Real-time semantic search runtime for voice agents and copilots	L1	horizontal	general	active	none visible	high
Motives	YC S25	yc-2025.md	AI agents moderating and analyzing video interviews for brands	L3	vertical	market research	active	none visible	high
MOVEdot	YC F25	yc-2025.md	Agents running hardware engineering tasks in minutes	L3	vertical	hardware engineering	active	none visible	high
Moveworks	gtm:kb;seed:L5;seed:L3;Lightspeed;ICONIQ	gtm-carry.md;kp-suites.md;kp-vertical-a.md;vc-us-a.md;vc-us-c.md	Enterprise assistant resolving IT, HR, finance requests; ServiceNow agent layer	L3	vertical	IT/HR	acquired	ServiceNow $2.85B acquisition	high
MSPilot	YC F25	yc-2025.md	AI control plane helping MSPs build, govern, monetize agents	L2	vertical	IT/MSP	active	none visible	high
Multifactor	YC F25	yc-2025.md	Zero-trust authentication, authorization, auditing for AI agents	L1	horizontal	general	active	none visible	high
Multion	ext:X	kp-infra.md	Autonomous browser agent for web tasks	X	horizontal	general	active	$20M+ raised; ~$100M valuation	high
Multiplier	Lux	vc-us-c.md	AI agent harnesses for asset managers	L3	vertical	finance	active	$6M seed 2026	normal
Murphy	Northzone	vc-eu.md	AI agent for debt collection and servicing	L3	vertical	finance	active	$15M with ElevenLabs, Jul 2025	normal
mutable.ai	YC W22	yc-2021-22.md	automating corporations starting with software understanding	L2	horizontal	general	acquired	acquired; auto wiki product	normal
n8n	ext:OSS;seed:L2;Accel	kp-infra.md;kp-platforms.md;vc-us-a.md	Workflow automation with native AI agents	L2	horizontal	general	active	$5.2B valuation (2026)	high
Nabla	ext:L3;Khosla Ventures	kp-vertical-b.md;vc-us-a.md	AI ambient scribe automating clinical documentation	L3	vertical	healthcare	active	$70M Series C; $120M total (2025)	high
Nango	seed:L1	kp-infra.md	Open-source unified API and integration infrastructure	L1	horizontal	general	active	$7.5M seed led by Gradient (2026)	normal
Nara	YC W22	yc-2021-22.md	AI answering support and sales questions for SMBs	L3	vertical	customer service	acquired	acquired	normal
Navan AI Agents	ext:L5	kp-suites.md	Agents for travel booking and expense workflows	L5	vertical	travel and expense	active	none visible	normal
Navier AI	YC W24	yc-2024.md	Agent-Driven Engineering	L3	vertical	engineering	active	Raised $5.6M	high
NavigateAI	ext:L3	kp-vertical-b.md	AI copilots for construction field workers	L3	vertical	construction	active	$25M seed (Sep 2026)	normal
Nayo	ext:L3	kp-vertical-b.md	AI agents for accounting operations	L3	vertical	finance/accounting	unknown	none visible	normal
Nebula Security	YC S26	yc-2026.md	Autonomous AI defense system for cyber attack	L3	vertical	security	active	none visible	high
Nekuda	Madrona	vc-us-c.md	Payments infrastructure for autonomous agents	L1	horizontal	general	active	$5M led by Madrona 2025	normal
Neno	ext:L3	kp-vertical-b.md	AI accountant for SMEs	L3	vertical	finance/accounting	active	EUR 6.6M seed (Aug 2026)	normal
Neo	ext:L1	kp-infra.md	Control layer securing agentic AI across enterprises	L1	horizontal	general	active	$100M launch (July 2026)	high
Netic AI	Founders Fund	vc-us-a.md	Autonomous agents for essential-services businesses revenue operations	L3	vertical	revenue operations	active	Series A in 2025	normal
Neuron7	Battery	vc-us-b.md	AI agents for complex enterprise service resolution	L3	vertical	customer service	active	$44M Ser B 2024; Battery investor	normal
Newton	YC W24	yc-2024.md	AI-powered phone platform for dentists	X	vertical	healthcare	active	none visible	high
Newton Research	Bessemer	vc-us-b.md	AI marketing analytics agents for brands and agencies	L3	vertical	marketing	active	BVP-backed, early stage	normal
Nexus	YC F25	yc-2025.md	Non-technical teams build production-ready agents without code	L2	horizontal	general	active	none visible	high
NICE CXone Mpower	ext:L5	kp-suites.md	Agentic AI platform for customer experience automation	L5	vertical	customer service	active	none visible	normal
Nirmata	Peak XV	vc-in.md	AI platform engineer automating DevSecOps policy as code	L3	vertical	software engineering	active	Surge 11 cohort 2025	normal
Niteshift	Greylock	vc-us-a.md	Full-stack cloud providing runtime, context, and compute for coding agents	L1	horizontal	general	active	Seed funding	normal
Nooks	seed:L3	kp-vertical-b.md	AI sales dialer and parallel calling platform	L3	vertical	GTM/sales	active	$43M Series B (Oct 2024)	high
Nophin	YC W22	yc-2021-22.md	AI analyst automating CRE deal screening and diligence	L3	vertical	real estate	dead	none visible	normal
Norm Ai	seed:L3;Coatue;Craft	kp-vertical-b.md;vc-us-b.md;vc-us-c.md	AI agents mapping and monitoring regulatory obligations	L3	vertical	finance/accounting	active	$120M Series C at $1.2B valuation (Jul 2026)	high
Norra	YC F25	yc-2025.md	Automates equipment operations management for nursing facilities	L3	vertical	healthcare	active	none visible	high
NOSO LABS	YC S25	yc-2025.md	AI agents for field technicians: diagnose, sell, paperwork	L3	vertical	field services	active	none visible	high
Not Diamond	ext:L1	kp-infra.md	Model routing infrastructure for multi-model AI	L1	horizontal	general	active	$2.3M raised; IBM investor	normal
Notable	ext:L3	kp-vertical-b.md	AI agents automating healthcare patient access	L3	vertical	healthcare	active	$100M Series B at $600M (2021)	high
Notion AI Agents	ext:L5	kp-suites.md	AI teammates for docs, projects, and workflows	L5	horizontal	general	active	none visible	normal
Notte	YC S25	yc-2025.md	Platform building and deploying enterprise-grade browser agents	X	horizontal	general	active	$2.5M pre-seed	high
Nova	Accel	vc-us-a.md	AI agent platform for generating and transforming SAP enterprise software	L3	vertical	it	active	running in production at global scale for Festo and KION Group	high
Nowadays	YC S23	yc-2023.md	AI agent contacting venues and negotiating for corporate events	L3	vertical	operations	active	none visible	normal
Nozomio	YC S25	yc-2025.md	Context augmentation feeding coding agents the right code	L1	horizontal	general	active	none visible	high
Nuanced	YC W24	yc-2024.md	Nuanced makes AI coding agents and tools smarter with static analysis.	L1	horizontal	general	active	none visible	high
Nucleo	YC F25	yc-2025.md	Agentic oncology platform extracting CT-scan insights for treatment	L3	vertical	healthcare	active	works with Stanford Hospital, Cedars-Sinai	high
Null Labs	YC F25	yc-2025.md	Simulation infrastructure training and validating autonomous defense systems	L1	horizontal	general	active	none visible	high
Nullify	ext:L3	kp-vertical-b.md	AI security engineers for AppSec workflows	L3	vertical	security	active	$12.5M seed (Feb 2026)	normal
Numeric	seed:L3;Menlo	kp-vertical-b.md;vc-us-b.md	AI-native accounting platform for close and reconciliation	L3	vertical	finance/accounting	active	$51M Series B (Nov 2025)	high
Numos	ext:L3	kp-vertical-b.md	AI finance platform for CFOs	L3	vertical	finance/accounting	active	$4.25M seed (Apr 2026)	normal
Nuntius	YC S25	yc-2025.md	Guardrails making models follow rules in production	L1	horizontal	general	active	none visible	high
Nym	Bessemer	vc-us-b.md	Autonomous medical coding engine for revenue cycle	L3	vertical	healthcare	active	$47M growth round 2024; BVP investor	normal
o11	YC W26	yc-2026.md	AI agent inside M365 and Google Workspace	L2	horizontal	general	active	none visible	high
Observe.AI	seed:L3;Menlo	kp-vertical-a.md;vc-us-b.md	AI copilots and agents for contact centers	L3	vertical	customer service	active	$125M Series C (2022, Zoom-backed)	high
Octagon AI	AI Fund	vc-ai.md	Agentic AI research analyst for investors	L3	vertical	finance	active	live inside ChatGPT 2025	normal
Octolane	YC W24	yc-2024.md	AI Self-Driving AI CRM	L3	vertical	GTM/sales	active	Raised Seed round	high
Octomind	Cherry Ventures	vc-eu.md	Agent-powered QA that decides what to test autonomously	L3	vertical	software engineering	active	€4.5M seed led by Cherry, 2024	normal
OffDeal	Radical Ventures;YC W24	vc-ai.md;yc-2024.md	AI-native investment bank with deal agents	L3	vertical	finance	active	Series A; FT first AI-native bank 2025	high
Okibi	YC S25	yc-2025.md	Build AI coworkers using natural language, Lovable for agents	L2	horizontal	general	active	none visible	high
Okta Agent Identity Center	seed:L1	kp-infra.md	Identity, authorization, and governance for AI agents	L1	horizontal	general	active	GA April 2026; Okta flagship agent product	high
Okta AI Agents	ext:L5	kp-suites.md	Identity security agents for access workflows	L5	vertical	security	active	none visible	normal
Olakai	AI Fund	vc-ai.md	AI analytics and agent observability platform	L1	horizontal	general	active	Agent IQ agent measurement product	normal
Omilia	ext:L3	kp-vertical-a.md	Enterprise voice AI agents for contact centers	L3	vertical	customer service (voice)	active	Established enterprise voice AI vendor	normal
Omnara	YC S25	yc-2025.md	Command center running Claude Code from terminal, web, mobile	L1	horizontal	general	active	none visible	high
OmniAI	YC W24	yc-2024.md	AI Agents for Commercial Lending	L3	vertical	finance/accounting	active	$3.2M seed round led by FundersClub	high
OneCLI	YC S26	yc-2026.md	Identity for AI agents	L1	horizontal	general	active	none visible	high
OneGrep	YC W24	yc-2024.md	AI Agent for DevOps Workflow Automation	L3	vertical	software engineering	active	none visible	high
OneReach.ai	ext:L2	kp-platforms.md	Agentic orchestration platform for the enterprise (Generative Studio X)	L2	horizontal	general	active	None visible	normal
OnFinance	Peak XV	vc-in.md	NeoGPT agents automating BFSI regulatory compliance	L3	vertical	finance	active	$4.2M pre-Series A led by Peak XV 2025	normal
Onyx	ext:L2	kp-platforms.md	Open-source enterprise AI assistant and agent platform, formerly Danswer	L2	horizontal	general	active	$10M seed Mar 2025	normal
Open	YC W24	yc-2024.md	Enterprise AI customer support	L3	vertical	customer service	active	raised $7M led by YC	high
OpenAI AgentKit	seed:L2	kp-platforms.md	OpenAI's Agent Builder canvas, Agents SDK, ChatKit, and connectors	L2	horizontal	general	active	Launched Oct 2025 with Agent Builder and Agents SDK	high
Opencall.ai	YC W24	yc-2024.md	AI Workforce for Services Businesses	X	horizontal	general	active	reported $1M ARR (2024)	high
OpenCode	YC W21	yc-2021-22.md	the open source AI coding agent	L2	horizontal	general	pivoted	open source; ex-SST serverless framework	high
OpenHands	ext:OSS;seed:L3;Menlo	kp-infra.md;kp-vertical-a.md;vc-us-b.md	Open-source autonomous software engineer	L3	vertical	software engineering	active	$18.8M Series A; large OSS community	high
OpenIntake	YC W25	yc-2025.md	AI front door converting law firm callers into clients around the clock	L3	vertical	legal	active	none visible	high
Openlayer	YC S21	yc-2021-22.md	governance and evals platform for AI applications	L1	horizontal	general	active	team 19	normal
OpenRouter	seed:L1	kp-infra.md	Unified routing API and marketplace for LLM inference	L1	horizontal	general	active	100T tokens per year (2025)	high
OpenTools	YC S23	yc-2023.md	API for LLM tool use	L1	horizontal	general	active	none visible	normal
Operand	YC W25	yc-2025.md	AI replacing traditional consulting through deep data analysis	L3	vertical	consulting	active	none visible	high
Opkit	YC S21	yc-2021-22.md	AI phone calls for the US healthcare industry	X	vertical	healthcare	dead	none visible	normal
Oracle AI Agent Studio	seed:L5	kp-suites.md	No-code agent builder embedded across Oracle Fusion Applications	L5	horizontal	general	active	none visible	normal
Orange Slice	YC S25	yc-2025.md	Agentic sales enrichment spreadsheet with typed SDK columns	L3	vertical	GTM/sales	active	none visible	high
Orby AI	NEA	vc-us-b.md	Large action model platform automating enterprise workflows	L2	horizontal	general	active	$30M Ser A 2024 led by NEA	normal
Orchids	YC W25	yc-2025.md	AI full-stack engineer building apps and websites	L3	vertical	software engineering	active	none visible	high
Osmaura	YC S26	yc-2026.md	Business development brain for law firms	L3	vertical	legal	active	none visible	high
Osmosis	YC W25	yc-2025.md	RL fine-tuning of open-source models for AI agents	L1	horizontal	general	active	none visible	high
Otto	Madrona	vc-us-c.md	AI agent for business travel booking	L3	vertical	travel	active	first round led by Madrona 2024	normal
Outset	Radical Ventures;8VC	vc-ai.md;vc-us-c.md	AI-moderated research with agent interviewers	L3	vertical	market research	active	Fortune 500 customers incl Nestle	normal
Outverse	Seedcamp	vc-eu.md	Operating system for enterprise service agents	L2	horizontal	general	active	none visible	normal
Overdrive Health	YC W26	yc-2026.md	AI medical billing automation	L3	vertical	healthcare	active	none visible	high
Overlap	YC S24	yc-2024.md	Multimodal AI agents for video	L3	vertical	media	active	$1.9M seed funding	high
Oversteer	YC S23	yc-2023.md	Browser agents turning web tasks into APIs	X	horizontal	general	active	none visible	normal
Ovlo	YC W25	yc-2025.md	No-code platform building supply chain automation agents	L3	vertical	logistics	active	none visible	high
Pace	Sequoia;Thrive	vc-us-a.md;vc-us-c.md	AI agents automating mission critical back-office operations for insurers	L3	vertical	insurance	active	none visible	normal
Paces	YC S22	yc-2021-22.md	agentic AI for power projects and infrastructure	L3	vertical	energy	active	team 40	normal
Paid	EQT Ventures;Lightspeed	vc-eu.md;vc-us-a.md	Monetization and billing infrastructure for AI agents	L1	horizontal	general	active	$21M seed, Oct 2025	normal
Palantir AIP	seed:L2;seed:L5	kp-platforms.md;kp-suites.md	Ontology-grounded platform for building and deploying enterprise AI agents	L2	horizontal	general	active	$1B+ quarterly revenue 2026; 93% YoY growth	high
Palisade	YC S26	yc-2026.md	AI sales agents that run your marketplace	L3	vertical	sales	active	none visible	high
Pallet	ext:L3	kp-vertical-b.md	AI copilot for trucking companies	L3	vertical	logistics	active	$27M Series B (May 2025)	normal
Palo Alto Cortex AgentiX	ext:L5	kp-suites.md	Agentic platform for security operations	L5	vertical	security	active	none visible	normal
Pango	YC S26	yc-2026.md	Agentic OS for e-commerce operations	L3	vertical	e-commerce	active	none visible	high
Panta	YC W26	yc-2026.md	AI-native commercial insurance brokerage	L3	vertical	insurance	active	none visible	high
Paradigm	YC W24	yc-2024.md	A reimagined workspace with AI at its core	L2	horizontal	general	active	none visible	high
Paradox	seed:L3	kp-vertical-a.md	Conversational hiring assistant Olivia at scale	L3	vertical	HR and recruiting	active	$1.5B valuation (2021); ~$116M ARR est. (2023)	high
Paraglide	Bessemer	vc-us-b.md	Agentic AI for accounts receivable	L3	vertical	finance	active	BVP-backed, early stage	normal
Paragon	ext:L1;YC W25	kp-infra.md;yc-2025.md	Embedded integration platform for SaaS and agents	L1	horizontal	general	active	$21M raised across rounds	high
Parahelp	YC S24	yc-2024.md	The AI support agent that manages itself	L3	vertical	customer service	active	$21.2M across Seed and Series A	high
Parallel	YC W24	yc-2024.md	AI agents for healthcare admin	X	vertical	healthcare	active	Raised $20M led by Index Ventures	high
Parameter	YC W26	yc-2026.md	Autonomous AI agents for offensive security	L3	vertical	security	active	none visible	high
Parametric	YC F25	yc-2025.md	Robots for frontline physical labor, starting commercial laundry	L3	vertical	facilities	active	none visible	high
Paratus Health	YC W25	yc-2025.md	Agents replacing clinic front desk, intake, insurance verification	L3	vertical	healthcare	active	none visible	high
Parea AI	YC S23	yc-2023.md	Observability and evals for LLM applications	L1	horizontal	general	active	none visible	normal
