name	sources	files	one_liner	layer	scope	vertical	status	traction	priority	profile_depth	wiki_slug	task_horizon	pricing_model
LangGraph	ext:OSS;seed:L2	kp-infra.md;kp-platforms.md	Graph-based agent orchestration framework from LangChain	L2	horizontal	general	active	De facto standard for agent orchestration	high	deep	langgraph	long-horizon	unknown
LangSmith	seed:L1	kp-infra.md	LangChain's agent tracing and evaluation SaaS	L1	horizontal	general	active	Widely used; LangChain's flagship product	high	deep	langsmith	long-horizon	usage
Lapis	YC F25	yc-2025.md	AI growth marketer agents creating ads and running campaigns	L3	vertical	marketing	active	none visible	high	base	lapis	unknown	unknown
Lasso Security	seed:L1	kp-infra.md	Guardrails and security for enterprise AI agents	L1	horizontal	general	active	$30M raised (Sept 2026); 500% revenue growth	high	deep	lasso-security	persistent	other
Last Accounting Company	YC S26	yc-2026.md	Agent-native accounting firms	L3	vertical	accounting	active	none visible	high	base	last-accounting-company	unknown	unknown
LATO	YC S26	yc-2026.md	Agent-native research for investors	L3	vertical	finance	active	none visible	high	base	lato	unknown	unknown
Lawhive	Balderton Capital	vc-eu.md	AI lawyers automating consumer legal services	L3	vertical	legal	active	$60M Series B, Feb 2026	high	deep	lawhive	multi-step	other
Layerup	YC S22	yc-2021-22.md	agentic AI OS for finance and insurance	L3	vertical	finance and insurance	active	team 11	normal			unknown	unknown
Leaping	YC W24	yc-2024.md	Automate bug resolution	L3	vertical	software engineering	active	Raised $4.7 Million	high	base	leaping	unknown	unknown
Leaping AI	YC W25	yc-2025.md	Self-improving voice AI agents for call centers	X	horizontal	general	active	$4.7M raised	high	base	leaping-ai	multi-step	unknown
LedgerUp	YC S24	yc-2024.md	AI agents that handles complex billing and revenue	L3	vertical	finance/accounting	active	none visible	high	base	ledgerup	unknown	unknown
Leena AI	seed:L3;Bessemer	kp-vertical-a.md;vc-us-b.md	Agentic AI colleagues for IT, HR, finance, procurement	L3	vertical	employee service	active	Bessemer-backed; claims $75M contracts in a day (2026)	high	deep	leena-ai	multi-step	per-seat
Legion	Coatue	vc-us-b.md	Browser-native AI agents automating SOC workflows	L3	vertical	security	active	$38M launch 2025 from Accel and Coatue	normal			unknown	unknown
Legora	ext:L3;General Catalyst, Menlo, Bessemer	kp-vertical-b.md;vc-us-b.md	Collaborative legal AI platform for law firms	L3	vertical	legal	active	$600M Series D (Apr 2026); $10B+ valuation sought	high	deep	legora	long-horizon	other
Lemma	YC F25	yc-2025.md	Continuous learning for agents from feedback and production outcomes	L1	horizontal	general	active	none visible	high	base	lemma	unknown	unknown
LemonLime	YC S26	yc-2026.md	No-code AI that self-creates business automations	L2	horizontal	general	active	none visible	high	base	lemonlime	unknown	unknown
LemonSlice	YC W24	yc-2024.md	Give your voice agents a face	L1	horizontal	general	active	$10.5M from YC and Matrix	high	base	lemonslice	persistent	unknown
Letta	ext:OSS;seed:L2;Felicis	kp-infra.md;kp-platforms.md;vc-us-c.md	Persistent self-editing memory for AI agents	L1	horizontal	general	active	$10M seed led by Felicis (2024)	normal			unknown	unknown
Letter AI	Battery	vc-us-b.md	AI agents for revenue enablement and deal intelligence	L3	vertical	GTM/sales	active	$40M Ser B 2026; Battery-backed	normal			unknown	unknown
Level AI	Battery	vc-us-b.md	Contact center AI intelligence and agents	L3	vertical	customer service	active	$39.4M Ser C 2024; Battery investor	normal			unknown	unknown
LevelPlane	Accel	vc-in.md	AI procurement agent from engineering drawings to sourcing	L3	vertical	manufacturing	active	Accel Atoms AI cohort 2026	normal			unknown	unknown
Levocred AI	YC S26	yc-2026.md	AI for every workflow inside a credit team	L3	vertical	finance	active	none visible	high	base	levocred-ai	unknown	unknown
Lexi AI	YC F25	yc-2025.md	AI associates for corporate law learning firm standards	L3	vertical	legal	active	135K+ documents across 7K+ cases	high	base	lexi-ai	unknown	unknown
LexisNexis Protégé	ext:L5	kp-suites.md	Personalized legal AI assistant and agents	L5	vertical	legal	active	formerly Lexis+ AI; uptake undisclosed	normal			unknown	unknown
Liberate	Battery	vc-us-b.md	Voice AI agents for insurance back offices	L3	vertical	insurance	active	$50M Ser B 2025 led by Battery at $300M	normal			unknown	unknown
Lighthouz AI	YC S24	yc-2024.md	AI Agents for AP and AR in Logistics	L3	vertical	logistics	active	none visible	high	base	lighthouz-ai	unknown	unknown
Lightscreen	YC F24	yc-2024.md	AI Voice + video AI interviewer	X	vertical	HR	active	none visible	high	base	lightscreen	unknown	unknown
Lilac Labs	YC S24	yc-2024.md	Automate the person taking orders at drive-thrus with a voice AI	X	vertical	hospitality	active	none visible	high	base	lilac-labs	unknown	unknown
Linc	YC S23	yc-2023.md	AI agents automating logistics workflows	L3	vertical	logistics	active	none visible	normal			unknown	unknown
Lindy	seed:L2;Menlo, Battery	kp-platforms.md;vc-us-b.md	Platform for building AI employees that run email, meetings, and workflows	L2	horizontal	general	active	$49.9M total; $35M Series B led by Battery 2023	high	base	lindy	unknown	unknown
Lio	a16z	vc-us-a.md	Virtual procurement workforce agents that triage requests, negotiate, and execute purchases end-to-end	L3	vertical	finance/accounting	active	More than 100 clients globally including Fortune 500 companies	high	deep	lio	multi-step	unknown
Listen Labs	Conviction	vc-ai.md	AI agents conducting user research interviews	L3	vertical	market research	active	$27M raised 2025	normal			unknown	unknown
LiteLLM	seed:L1	kp-infra.md	Open-source LLM gateway standardizing model calls	L1	horizontal	general	active	40000+ GitHub stars; $12M raised	high	deep	litellm	multi-step	usage
LittleHorse	ext:L1	kp-infra.md	Workflow engine orchestrating agents and microservices	L1	horizontal	general	active	OSS engine; active development	normal			unknown	unknown
LiveKit	seed:X	kp-infra.md	Real-time voice and video infrastructure for agents	X	horizontal	general	active	$100M Series C at $1B (Jan 2026)	high	deep	livekit	multi-step	usage
Lizza	YC W22	yc-2021-22.md	AI assistant managing creator-brand partnerships end-to-end	L3	vertical	marketing	active	none visible	normal			unknown	unknown
LlamaIndex	ext:OSS;seed:L2	kp-infra.md;kp-platforms.md	Data framework for LLM applications and agents	L2	horizontal	general	active	$19M Series A; broad adoption	high	deep	llamaindex	multi-step	usage
Locata	YC S25	yc-2025.md	Agents automating healthcare referrals and prior authorizations	L3	vertical	healthcare	active	none visible	high	base	locata	multi-step	unknown
Locke	YC S26	yc-2026.md	AI-native government affairs firm	L3	vertical	government	active	none visible	high	base	locke	unknown	unknown
Locus	YC F25	yc-2025.md	Payment infrastructure letting AI agents pay	L1	horizontal	general	active	none visible	high	base	locus	long-horizon	unknown
LogicStar AI	Northzone	vc-eu.md	Agentic AI autonomously fixing bugs in commercial applications	L3	vertical	software engineering	active	$3M pre-seed led by Northzone, Feb 2025	normal			unknown	unknown
Lovable	a16z, Benchmark, Founders Fund	vc-us-a.md	AI-powered full-stack application builder	L2	horizontal	general	active	Unicorn status; $200M Series A; $200M Series B led by Benchmark; $2.8B valuation	high	deep	lovable	multi-step	usage
Lua Global	YC F25	yc-2025.md	Mid-market platform deploying sales, support, operations agents	L2	horizontal	general	active	none visible	high	base	lua-global	unknown	unknown
Lucidic AI	YC W25	yc-2025.md	Agent training via simulations on company knowledge	L1	horizontal	general	active	none visible	high	base	lucidic-ai	multi-step	unknown
Luminance	seed:L3	kp-vertical-b.md	Legal AI for contract review, drafting, and negotiation	L3	vertical	legal	active	$75M Series C (Feb 2025)	high	deep	luminance	long-horizon	usage
LunaBill	YC F25	yc-2025.md	AI voice callers handling insurance claim follow-ups for billing teams	L3	vertical	healthcare	active	none visible	high	base	lunabill	multi-step	unknown
Lunavo	YC F25	yc-2025.md	AI running carrier operations, monitoring data and requests	L3	vertical	logistics	active	none visible	high	base	lunavo	unknown	unknown
Lunos	Cherry Ventures	vc-eu.md	AI partner automating accounts receivable	L3	vertical	finance	active	$5M pre-seed, Sep 2025	normal			unknown	unknown
Luthor	YC F24	yc-2024.md	AI-Native Compliance Firm	L4	vertical	compliance	active	$500K Seed	high	deep	luthor	multi-step	unknown
Macadamia	YC W25	yc-2025.md	AI agents automating complex engineering and business processes	L3	vertical	engineering	active	none visible	high	base	macadamia	unknown	unknown
machine0	YC S26	yc-2026.md	Persistent AI VMs for agent execution	L1	horizontal	general	active	none visible	high	base	machine0	persistent	unknown
MadeThis	YC F25	yc-2025.md	AI co-founder autonomously building, launching, managing businesses	L3	horizontal	general	active	none visible	high	deep	madethis	persistent	usage
Mage Legal	YC S24	yc-2024.md	Automatic AI Legal Diligence	L3	vertical	legal	active	none visible	high	base	mage-legal	unknown	unknown
MagiCode	YC S24	yc-2024.md	A Reliable AI Frontend Engineer	L3	vertical	software engineering	active	Pre-Seed funding	high	base	magicode	unknown	unknown
Magnetic	YC S25	yc-2025.md	AI scanning client documents and entering tax software for CPAs	L3	vertical	accounting	active	none visible	high	base	magnetic	unknown	unknown
Magnitude	YC S25	yc-2025.md	Open-source, vision-first browser agent	X	horizontal	general	active	none visible	high	base	magnitude	multi-step	unknown
Maive	YC W25	yc-2025.md	AI automation platform for home services contractors	L3	vertical	home services	active	none visible	high	base	maive	multi-step	per-outcome
Make	seed:L2	kp-platforms.md	Visual automation platform with AI agents across 3000+ apps	L2	horizontal	general	active	Make AI Agents; 3000+ app integrations	high	deep	make	multi-step	unknown
Manaflow	YC S24	yc-2024.md	Building interfaces for managing AI coding agents to do good work	L1	horizontal	general	active	Pre-Seed funding	high	base	manaflow	multi-step	unknown
Mandel	YC S23	yc-2023.md	AI agents extracting supply-chain data and emailing suppliers	L3	vertical	logistics	active	none visible	normal			unknown	unknown
Mandolin	Greylock	vc-us-a.md	AI teammates and precision automation for specialty drug processing workflows	L3	vertical	healthcare	active	$40.0M Series A	normal			unknown	unknown
Manifest	Menlo	vc-us-b.md	AI-native operating suite for law firms	L3	vertical	legal	active	Menlo Ser A 2024	normal			unknown	unknown
Manifold Security	Cherry Ventures	vc-eu.md	Runtime visibility and protection for autonomous AI agents	L1	horizontal	general	active	$8M seed, Mar 2026	normal			unknown	unknown
Mantle	YC F25	yc-2025.md	Build back-office agents from one prompt, connected to tools	L2	horizontal	general	active	none visible	high	base	mantle	unknown	unknown
Mantys	YC W23	yc-2023.md	AI agents verifying healthcare insurance eligibility into EMRs	L3	vertical	healthcare	active	none visible	normal			unknown	unknown
Manufact	ext:L1	kp-infra.md	Cloud for building and hosting MCP servers	L1	horizontal	general	active	$6.3M seed led by Peak XV (2026)	normal			unknown	unknown
Manus	Benchmark	vc-us-a.md	AI agents for enterprise work	L3	vertical	general	active	none visible	normal			unknown	unknown
Marblism	YC W24	yc-2024.md	AI Employees who love overtime	L3	vertical	GTM/sales	active	none visible	high	base	marblism	unknown	unknown
MarkIt	YC F25	yc-2025.md	Agents handling trade compliance inside Excel, PDFs, broker portals	L3	vertical	trade compliance	active	none visible	high	base	markit	unknown	unknown
Marr Labs	YC W24	yc-2024.md	AI-voice agents that are indistinguishable from humans.	X	horizontal	general	active	none visible	high	base	marr-labs	unknown	unknown
Martian	ext:L1	kp-infra.md	LLM router cutting costs across models	L1	horizontal	general	active	$9M seed (2023)	normal			unknown	unknown
MarvelX	EQT Ventures	vc-eu.md	Agentic AI platform for insurance operations	L3	vertical	insurance	active	$6M pre-seed, May 2025	normal			unknown	unknown
Mastra	ext:OSS;seed:L2;YC W25	kp-infra.md;kp-platforms.md;yc-2025.md	TypeScript agent framework for developers	L2	horizontal	general	active	$35M total; $22M Series A (2026)	high	deep	mastra	long-horizon	usage
Maven AGI	ext:L3;Lux	kp-vertical-a.md;vc-us-c.md	Enterprise-grade AI customer service agents	L3	vertical	customer service	active	$50M raise (2025) after $28M (2024)	high	deep	maven-agi	long-horizon	per-seat
Mavenoid	Point Nine Capital	vc-eu.md	AI agents for product support and troubleshooting	L3	vertical	customer service	active	$6M raised	normal			unknown	unknown
Maxim AI	Elevation	vc-in.md	Evaluation and observability platform for GenAI applications	L1	horizontal	general	active	$3M seed from Elevation	normal			unknown	unknown
Maxima	ext:L3	kp-vertical-b.md	Agentic human-AI collaboration for accounting	L3	vertical	finance/accounting	active	$41M seed and Series A (Nov 2025)	high	deep	maxima	multi-step	unknown
Maximor	ext:L3	kp-vertical-b.md	AI agents for finance team grunt work	L3	vertical	finance/accounting	active	$9M raised; revenue up 35x (2026)	normal			unknown	unknown
Maya Labs	YC S22	yc-2021-22.md	building self-programming machines for any task	L2	horizontal	general	active	team 5	normal			unknown	unknown
Mayflower	YC F25	yc-2025.md	AI plug-in automating HR immigration screening and compliance	L3	vertical	HR	active	none visible	high	base	mayflower	multi-step	unknown
Maywood	YC W26	yc-2026.md	Automating investment banking deal workflows	L3	vertical	finance	active	none visible	high	base	maywood	unknown	unknown
Maze	Cherry Ventures	vc-eu.md	AI agents investigating and resolving cloud security vulnerabilities	L3	vertical	security	active	$25M+ Series A, Jun 2025	high	deep	maze	multi-step	unknown
mcp-use	YC S25	yc-2025.md	Open-source MCP framework and cloud for building agents	L1	horizontal	general	active	4M+ downloads, 8K GitHub stars	high	deep	mcp-use	unknown	platform+subscription
mdhub	YC S24	yc-2024.md	AI workers for healthcare clinics	L3	vertical	healthcare	active	$500K Seed	high	base	mdhub	multi-step	unknown
Mem0	seed:L1;YC S24	kp-infra.md;yc-2024.md	Memory layer giving AI agents persistent knowledge	L1	horizontal	general	active	$24M seed and Series A (2025)	high	deep	mem0	persistent	usage
Memfold AI	Peak XV	vc-in.md	AI-native workspace where agents retain context and memory	L3	vertical	productivity	active	Peak XV investment Feb 2026; ex-Sarvam founders	normal			unknown	unknown
Mendral	YC W26	yc-2026.md	AI DevOps Engineer for CI and security	L3	vertical	software engineering	active	none visible	high	base	mendral	unknown	unknown
Menza	YC W26	yc-2026.md	AI data analyst for consumer brands	L3	vertical	finance	active	none visible	high	base	menza	unknown	unknown
Mercura	YC W25	yc-2025.md	Automates quotes and orders for the construction supply chain	L3	vertical	construction	active	none visible	high	base	mercura	unknown	unknown
Merge	seed:L1	kp-infra.md	Unified APIs for HR, ticketing, and payroll data	L1	horizontal	general	active	$74.5M raised across three rounds	high	deep	merge	persistent	platform+subscription
Mesh	YC W25	yc-2025.md	AI finance co-worker from ex-Carta fund-accounting founders	L3	vertical	finance	active	none visible	high	base	mesh	unknown	unknown
MetaGPT	seed:OSS	kp-infra.md	Multi-agent framework assigning roles for complex tasks	L2	horizontal	general	active	40000+ GitHub stars	normal			unknown	unknown
Metaview	Seedcamp, Plural	vc-eu.md	AI re-engineering hiring conversations	L3	vertical	HR	active	$35M Series B, Jun 2025	high	deep	metaview	multi-step	usage
Meteor	YC S25	yc-2025.md	AI-native browser that does your work for you	X	horizontal	general	active	none visible	high	base	meteor	unknown	unknown
Metis	YC S25	yc-2025.md	Infrastructure for agents reliably performing complex production tasks	L1	horizontal	general	acquired	none visible	high	base	metis	multi-step	unknown
Metorial	YC F25	yc-2025.md	Serverless MCP runtime powering AI integrations	L1	horizontal	general	active	none visible	high	base	metorial	unknown	unknown
Metoro	YC S23	yc-2023.md	AI SRE autonomously root-causing Kubernetes issues and fixing	L3	vertical	IT	active	none visible	normal			unknown	unknown
Mica AI	YC S24	yc-2024.md	Replace the humans fixing bad data	L3	vertical	operations	active	none visible	high	base	mica-ai	multi-step	unknown
Micro1	ext:L3	kp-vertical-a.md	AI interviewer, now pivoted to AI data labeling	L3	vertical	HR and recruiting	pivoted	$35M at $500M valuation (2025) as labeling business	normal			unknown	unknown
Microsoft Agent Framework	seed:L2	kp-platforms.md	Microsoft's agent framework merging Semantic Kernel and AutoGen	L2	horizontal	general	active	Announced Oct 2025; active docs through Aug 2026	high	deep	microsoft-agent-framework	long-horizon	unknown
Microsoft Copilot Studio	gtm:inc;seed:L5	gtm-carry.md;kp-suites.md	Copilot Studio plus Agent 365 control plane for Microsoft-ecosystem agents	L5	horizontal	general	active	Agent 365 launched Nov 2025	high	deep	microsoft-copilot-studio	multi-step	usage
Microsoft Entra Agent ID	seed:L1	kp-infra.md	Agent identity directory and access controls in Entra	L1	horizontal	general	active	GA 2025; bundled with Entra suite	high	deep	microsoft-entra-agent-id	persistent	other
Microsoft Security Copilot	ext:L5	kp-suites.md	Security agents and SOC automation across Microsoft security	L5	vertical	security	active	none visible	normal			unknown	unknown
Midship	YC S24	yc-2024.md	AI for SOX testing	L3	vertical	finance/accounting	acquired	acquired by Optro; raised $4.15M	high	base	midship	unknown	unknown
Mihup	Accel	vc-in.md	Voice AI and conversation intelligence for enterprise contact centers	X	vertical	customer service	active	Rs 50 Cr Series A 2024; IPO plans	normal			unknown	unknown
Minded	YC S23	yc-2023.md	Plain-English builder for AI agents	L2	horizontal	general	active	eToro, Payoneer, JustEat customers	high	base	minded	unknown	unknown
MindStudio	ext:L2	kp-platforms.md	No-code visual builder for AI agents and AI applications	L2	horizontal	general	active	None visible	normal			unknown	unknown
Miniloop	YC S21	yc-2021-22.md	AI workflow engine for building reliable systems	L1	horizontal	general	active	none visible	normal			unknown	unknown
Minimal AI	YC S25	yc-2025.md	AI support teams resolving ecommerce tickets across channels	L3	vertical	customer service	active	80% of interactions automated claimed	high	base	minimal-ai	persistent	unknown
MinusX	YC S24	yc-2024.md	AI Data Scientist for Jupyter and Metabase	L3	vertical	data & analytics	active	Pre-Seed funding	high	deep	minusx	multi-step	unknown
Mireye	YC S26	yc-2026.md	Infrastructure for Physical World AI Agents	L1	horizontal	general	active	none visible	high	base	mireye	multi-step	usage
Miro AI Agents	ext:L5	kp-suites.md	AI Sidekicks surfacing data and building boards	L5	horizontal	general	active	none visible	normal			unknown	unknown
Mistle	YC S22	yc-2021-22.md	platform for running autonomous coding agents	L2	horizontal	general	active	team 2	normal			unknown	unknown
MobileBoost	YC S21	yc-2021-22.md	AI automating mobile app end-to-end testing	L3	vertical	software engineering	active	team 15	normal			unknown	unknown
Mocha	YC S23	yc-2023.md	Coding agent building web apps from designs	L3	vertical	software engineering	active	none visible	normal			unknown	unknown
Mod AI	YC F25	yc-2025.md	Agents replacing accounting clerks, owning vendor communication and invoicing	L3	vertical	accounting	active	none visible	high	base	mod-ai	unknown	unknown
Moda	YC W26	yc-2026.md	Product analytics built for AI	L1	horizontal	general	active	none visible	high	base	moda	multi-step	unknown
Modern Relay	Point Nine Capital	vc-eu.md	Context graph infrastructure for enterprise AI agents	L1	horizontal	general	active	$2.9M seed, Apr 2026	normal			unknown	unknown
Mohi	YC S25	yc-2025.md	Debugging assistant tracing AI agent failures with execution graphs	L1	horizontal	general	active	none visible	high	base	mohi	unknown	unknown
Momentic	YC W24	yc-2024.md	The AI-native automated testing platform	L3	vertical	software engineering	active	$15M Series A	high	base	momentic	unknown	unknown
monday.com AI Agents	ext:L5	kp-suites.md	Agents monitoring and executing in the monday work OS	L5	horizontal	general	active	none visible	normal			unknown	unknown
Moonbounce	Amplify Partners	vc-ai.md	Real-time control engine for AI agent behavior	L1	horizontal	general	active	none visible	normal			unknown	unknown
Moonhub	ext:L3	kp-vertical-a.md	AI agents for recruiting workflows	L3	vertical	HR and recruiting	acquired	Team acqui-hired by Salesforce (2025)	normal			unknown	unknown
Moonscale	EQT Ventures	vc-eu.md	AI avatar agents automating B2B sales demos	L3	vertical	GTM/sales	active	Pre-seed	normal			unknown	unknown
Mosaic	YC W25	yc-2025.md	Create and run video-editing agents on a node canvas	L2	vertical	media	active	none visible	high	base	mosaic	unknown	unknown
Moss	YC F25	yc-2025.md	Real-time semantic search runtime for voice agents and copilots	L1	horizontal	general	active	none visible	high	base	moss	unknown	unknown
Motives	YC S25	yc-2025.md	AI agents moderating and analyzing video interviews for brands	L3	vertical	market research	active	none visible	high	deep	motives	multi-step	unknown
MOVEdot	YC F25	yc-2025.md	Agents running hardware engineering tasks in minutes	L3	vertical	hardware engineering	active	none visible	high	deep	movedot	multi-step	unknown
Moveworks	gtm:kb;seed:L5;seed:L3;Lightspeed;ICONIQ	gtm-carry.md;kp-suites.md;kp-vertical-a.md;vc-us-a.md;vc-us-c.md	Enterprise assistant resolving IT, HR, finance requests; ServiceNow agent layer	L3	vertical	IT/HR	acquired	ServiceNow $2.85B acquisition	high	deep	moveworks	multi-step	unknown
MSPilot	YC F25	yc-2025.md	AI control plane helping MSPs build, govern, monetize agents	L2	vertical	IT/MSP	active	none visible	high	base	mspilot	unknown	unknown
Multifactor	YC F25	yc-2025.md	Zero-trust authentication, authorization, auditing for AI agents	L1	horizontal	general	active	none visible	high	base	multifactor	unknown	unknown
Multion	ext:X	kp-infra.md	Autonomous browser agent for web tasks	X	horizontal	general	active	$20M+ raised; ~$100M valuation	high	deep	multion	multi-step	unknown
Multiplier	Lux	vc-us-c.md	AI agent harnesses for asset managers	L3	vertical	finance	active	$6M seed 2026	normal			unknown	unknown
Murphy	Northzone	vc-eu.md	AI agent for debt collection and servicing	L3	vertical	finance	active	$15M with ElevenLabs, Jul 2025	normal			unknown	unknown
mutable.ai	YC W22	yc-2021-22.md	automating corporations starting with software understanding	L2	horizontal	general	acquired	acquired; auto wiki product	normal			unknown	unknown
n8n	ext:OSS;seed:L2;Accel	kp-infra.md;kp-platforms.md;vc-us-a.md	Workflow automation with native AI agents	L2	horizontal	general	active	$5.2B valuation (2026)	high	deep	n8n	persistent	platform+subscription
Nabla	ext:L3;Khosla Ventures	kp-vertical-b.md;vc-us-a.md	AI ambient scribe automating clinical documentation	L3	vertical	healthcare	active	$70M Series C; $120M total (2025)	high	deep	nabla	single-turn	per-seat
Nango	seed:L1	kp-infra.md	Open-source unified API and integration infrastructure	L1	horizontal	general	active	$7.5M seed led by Gradient (2026)	normal			unknown	unknown
Nara	YC W22	yc-2021-22.md	AI answering support and sales questions for SMBs	L3	vertical	customer service	acquired	acquired	normal			unknown	unknown
Navan AI Agents	ext:L5	kp-suites.md	Agents for travel booking and expense workflows	L5	vertical	travel and expense	active	none visible	normal			unknown	unknown
Navier AI	YC W24	yc-2024.md	Agent-Driven Engineering	L3	vertical	engineering	active	Raised $5.6M	high	base	navier-ai	unknown	unknown
NavigateAI	ext:L3	kp-vertical-b.md	AI copilots for construction field workers	L3	vertical	construction	active	$25M seed (Sep 2026)	normal			unknown	unknown
Nayo	ext:L3	kp-vertical-b.md	AI agents for accounting operations	L3	vertical	finance/accounting	unknown	none visible	normal			unknown	unknown
Nebula Security	YC S26	yc-2026.md	Autonomous AI defense system for cyber attack	L3	vertical	security	active	none visible	high	base	nebula-security	unknown	unknown
Nekuda	Madrona	vc-us-c.md	Payments infrastructure for autonomous agents	L1	horizontal	general	active	$5M led by Madrona 2025	normal			unknown	unknown
Neno	ext:L3	kp-vertical-b.md	AI accountant for SMEs	L3	vertical	finance/accounting	active	EUR 6.6M seed (Aug 2026)	normal			unknown	unknown
Neo	ext:L1	kp-infra.md	Control layer securing agentic AI across enterprises	L1	horizontal	general	active	$100M launch (July 2026)	high	deep	neo	persistent	unknown
Netic AI	Founders Fund	vc-us-a.md	Autonomous agents for essential-services businesses revenue operations	L3	vertical	revenue operations	active	Series A in 2025	normal			unknown	unknown
Neuron7	Battery	vc-us-b.md	AI agents for complex enterprise service resolution	L3	vertical	customer service	active	$44M Ser B 2024; Battery investor	normal			unknown	unknown
Newton	YC W24	yc-2024.md	AI-powered phone platform for dentists	X	vertical	healthcare	active	none visible	high	base	newton	unknown	unknown
Newton Research	Bessemer	vc-us-b.md	AI marketing analytics agents for brands and agencies	L3	vertical	marketing	active	BVP-backed, early stage	normal			unknown	unknown
Nexus	YC F25	yc-2025.md	Non-technical teams build production-ready agents without code	L2	horizontal	general	active	none visible	high	base	nexus	unknown	unknown
NICE CXone Mpower	ext:L5	kp-suites.md	Agentic AI platform for customer experience automation	L5	vertical	customer service	active	none visible	normal			unknown	unknown
Nirmata	Peak XV	vc-in.md	AI platform engineer automating DevSecOps policy as code	L3	vertical	software engineering	active	Surge 11 cohort 2025	normal			unknown	unknown
Niteshift	Greylock	vc-us-a.md	Full-stack cloud providing runtime, context, and compute for coding agents	L1	horizontal	general	active	Seed funding	normal			unknown	unknown
Nooks	seed:L3	kp-vertical-b.md	AI sales dialer and parallel calling platform	L3	vertical	GTM/sales	active	$43M Series B (Oct 2024)	high	deep	nooks	multi-step	per-seat
Nophin	YC W22	yc-2021-22.md	AI analyst automating CRE deal screening and diligence	L3	vertical	real estate	dead	none visible	normal			unknown	unknown
Norm Ai	seed:L3;Coatue;Craft	kp-vertical-b.md;vc-us-b.md;vc-us-c.md	AI agents mapping and monitoring regulatory obligations	L3	vertical	finance/accounting	active	$120M Series C at $1.2B valuation (Jul 2026)	high	deep	norm-ai	unknown	unknown
Norra	YC F25	yc-2025.md	Automates equipment operations management for nursing facilities	L3	vertical	healthcare	active	none visible	high	base	norra	multi-step	unknown
NOSO LABS	YC S25	yc-2025.md	AI agents for field technicians: diagnose, sell, paperwork	L3	vertical	field services	active	none visible	high	base	noso-labs	long-horizon	unknown
Not Diamond	ext:L1	kp-infra.md	Model routing infrastructure for multi-model AI	L1	horizontal	general	active	$2.3M raised; IBM investor	normal			unknown	unknown
Notable	ext:L3	kp-vertical-b.md	AI agents automating healthcare patient access	L3	vertical	healthcare	active	$100M Series B at $600M (2021)	high	deep	notable	multi-step	unknown
Notion AI Agents	ext:L5	kp-suites.md	AI teammates for docs, projects, and workflows	L5	horizontal	general	active	none visible	normal			unknown	unknown
Notte	YC S25	yc-2025.md	Platform building and deploying enterprise-grade browser agents	X	horizontal	general	active	$2.5M pre-seed	high	base	notte	multi-step	unknown
Nova	Accel	vc-us-a.md	AI agent platform for generating and transforming SAP enterprise software	L3	vertical	it	active	running in production at global scale for Festo and KION Group	high	deep	nova	long-horizon	platform+subscription
Nowadays	YC S23	yc-2023.md	AI agent contacting venues and negotiating for corporate events	L3	vertical	operations	active	none visible	normal			unknown	unknown
Nozomio	YC S25	yc-2025.md	Context augmentation feeding coding agents the right code	L1	horizontal	general	active	none visible	high	base	nozomio	multi-step	unknown
Nuanced	YC W24	yc-2024.md	Nuanced makes AI coding agents and tools smarter with static analysis.	L1	horizontal	general	active	none visible	high	base	nuanced	unknown	unknown
Nucleo	YC F25	yc-2025.md	Agentic oncology platform extracting CT-scan insights for treatment	L3	vertical	healthcare	active	works with Stanford Hospital, Cedars-Sinai	high	deep	nucleo	multi-step	unknown
Null Labs	YC F25	yc-2025.md	Simulation infrastructure training and validating autonomous defense systems	L1	horizontal	general	active	none visible	high	base	null-labs	unknown	unknown
Nullify	ext:L3	kp-vertical-b.md	AI security engineers for AppSec workflows	L3	vertical	security	active	$12.5M seed (Feb 2026)	normal			unknown	unknown
Numeric	seed:L3;Menlo	kp-vertical-b.md;vc-us-b.md	AI-native accounting platform for close and reconciliation	L3	vertical	finance/accounting	active	$51M Series B (Nov 2025)	high	deep	numeric	multi-step	per-seat
Numos	ext:L3	kp-vertical-b.md	AI finance platform for CFOs	L3	vertical	finance/accounting	active	$4.25M seed (Apr 2026)	normal			unknown	unknown
Nuntius	YC S25	yc-2025.md	Guardrails making models follow rules in production	L1	horizontal	general	active	none visible	high	base	nuntius	unknown	unknown
Nym	Bessemer	vc-us-b.md	Autonomous medical coding engine for revenue cycle	L3	vertical	healthcare	active	$47M growth round 2024; BVP investor	normal			unknown	unknown
o11	YC W26	yc-2026.md	AI agent inside M365 and Google Workspace	L2	horizontal	general	active	none visible	high	base	o11	unknown	unknown
Observe.AI	seed:L3;Menlo	kp-vertical-a.md;vc-us-b.md	AI copilots and agents for contact centers	L3	vertical	customer service	active	$125M Series C (2022, Zoom-backed)	high	deep	observe-ai	persistent	per-seat
Octagon AI	AI Fund	vc-ai.md	Agentic AI research analyst for investors	L3	vertical	finance	active	live inside ChatGPT 2025	normal			unknown	unknown
Octolane	YC W24	yc-2024.md	AI Self-Driving AI CRM	L3	vertical	GTM/sales	active	Raised Seed round	high	base	octolane	unknown	unknown
Octomind	Cherry Ventures	vc-eu.md	Agent-powered QA that decides what to test autonomously	L3	vertical	software engineering	active	€4.5M seed led by Cherry, 2024	normal			unknown	unknown
